광역시도,기초지자체,배출연도,배출월,배출일,배출량(g),배출횟수
경기도,구리시,2024,1,19,18987050,10604
경기도,구리시,2024,1,20,16167850,9784
경기도,구리시,2024,1,21,20553550,12950
경기도,구리시,2024,1,22,21910200,10458
경기도,구리시,2024,1,23,16441000,9253
경기도,구리시,2024,1,24,18471750,10744
경기도,구리시,2024,1,25,17323560,10087
경기도,구리시,2024,1,26,18040440,10051
경기도,구리시,2024,1,27,16324150,10008
경기도,구리시,2024,1,28,19963150,12560
경기도,구리시,2024,1,29,22452300,10643
경기도,구리시,2024,1,30,18749450,10627
경기도,구리시,2024,1,31,18835600,11072
경기도,군포시,2024,1,1,7459050,4303
경기도,군포시,2024,1,2,6142300,3774
경기도,군포시,2024,1,3,5755250,3703
경기도,군포시,2024,1,4,4858750,3273
경기도,군포시,2024,1,5,4714150,3203
경기도,군포시,2024,1,6,5063200,3242
경기도,군포시,2024,1,7,6926150,4201
경기도,군포시,2024,1,8,5961300,3826
경기도,군포시,2024,1,9,4676700,3089
경기도,군포시,2024,1,10,5609050,3708
경기도,군포시,2024,1,11,5255400,3324
경기도,군포시,2024,1,12,4565500,3084
경기도,군포시,2024,1,13,5385500,3399
경기도,군포시,2024,1,14,6279600,3875
경기도,군포시,2024,1,15,5636900,3650
경기도,군포시,2024,1,16,4960550,3454
경기도,군포시,2024,1,17,4827150,3213
경기도,군포시,2024,1,18,5376800,3545
경기도,군포시,2024,1,19,4738950,3212
경기도,군포시,2024,1,20,4730300,3038
경기도,군포시,2024,1,21,6560050,3958
경기도,군포시,2024,1,22,5142800,3366
경기도,군포시,2024,1,23,3947550,2785
경기도,군포시,2024,1,24,4760900,3331
경기도,군포시,2024,1,25,4052450,2818
경기도,군포시,2024,1,26,4541800,2994
경기도,군포시,2024,1,27,4968500,3193
경기도,군포시,2024,1,28,6449950,3988
경기도,군포시,2024,1,29,5190300,3384
경기도,군포시,2024,1,30,5505900,3566
경기도,군포시,2024,1,31,5198900,3571
경기도,김포시,2024,1,1,3615900,1934
경기도,김포시,2024,1,2,2773800,1604
경기도,김포시,2024,1,3,3324100,1916
경기도,김포시,2024,1,4,2694700,1536
경기도,김포시,2024,1,5,2598250,1427
경기도,김포시,2024,1,6,2844450,1543
경기도,김포시,2024,1,7,4510200,2500
경기도,김포시,2024,1,8,2621750,1458
경기도,김포시,2024,1,9,2614150,1461
경기도,김포시,2024,1,10,3452200,1934
경기도,김포시,2024,1,11,2791450,1525
경기도,김포시,2024,1,12,2409500,1437
경기도,김포시,2024,1,13,2924850,1605
경기도,김포시,2024,1,14,4258950,2413
경기도,김포시,2024,1,15,2814500,1519
경기도,김포시,2024,1,16,2593600,1491
경기도,김포시,2024,1,17,2803150,1645
경기도,김포시,2024,1,18,2924100,1655
경기도,김포시,2024,1,19,2413550,1353
경기도,김포시,2024,1,20,2555400,1464
경기도,김포시,2024,1,21,4635750,2578
경기도,김포시,2024,1,22,2277100,1316
경기도,김포시,2024,1,23,2309200,1345
경기도,김포시,2024,1,24,3098500,1814
경기도,김포시,2024,1,25,2529750,1461
경기도,김포시,2024,1,26,2611550,1433
경기도,김포시,2024,1,27,2673550,1553
경기도,김포시,2024,1,28,4453100,2530
경기도,김포시,2024,1,29,2595850,1498
경기도,김포시,2024,1,30,2597900,1461
경기도,김포시,2024,1,31,3051350,1823
경기도,남양주시,2024,1,1,49422850,27110
경기도,남양주시,2024,1,2,41097700,22820
경기도,남양주시,2024,1,3,39986150,23161
경기도,남양주시,2024,1,4,38593450,23102
경기도,남양주시,2024,1,5,35666740,21604
경기도,남양주시,2024,1,6,37413650,21616
경기도,남양주시,2024,1,7,48793100,27322
경기도,남양주시,2024,1,8,41457400,23984
경기도,남양주시,2024,1,9,33649360,19825
경기도,남양주시,2024,1,10,41404450,24319
경기도,남양주시,2024,1,11,37798700,22730
경기도,남양주시,2024,1,12,35347240,21406
경기도,남양주시,2024,1,13,37111800,21692
경기도,남양주시,2024,1,14,46398750,26040
경기도,남양주시,2024,1,15,39855600,23513
경기도,남양주시,2024,1,16,35788150,21487
경기도,남양주시,2024,1,17,34199700,20499
경기도,남양주시,2024,1,18,40487140,24048
경기도,남양주시,2024,1,19,36111960,21754
경기도,남양주시,2024,1,20,34777500,20421
경기도,남양주시,2024,1,21,49131700,27573
경기도,남양주시,2024,1,22,36931750,21838
경기도,남양주시,2024,1,23,30710250,18719
경기도,남양주시,2024,1,24,36750150,21965
경기도,남양주시,2024,1,25,35584050,21691
경기도,남양주시,2024,1,26,34655500,21233
경기도,남양주시,2024,1,27,36898950,21057
경기도,남양주시,2024,1,28,48269000,27151
경기도,남양주시,2024,1,29,38034200,22588
경기도,남양주시,2024,1,30,35619300,21468
